County Name,City,Location Name,Location URL,Location Address,Location Number,Location Email ,Notes/Status
,Kent,"Fred Meyer Stores, Covington",https://www.fredmeyer.com/rx/guest/get-vaccinated,"16735 SE 272nd|Kent, WA 98042|",253-639-7433,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kent,"Fred Meyer Stores, Kent",https://www.fredmeyer.com/rx/guest/get-vaccinated,"10201 SE 240TH St|Kent, WA 98031|",253-859-5533,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kent,"Fred Meyer Stores, Redondo",https://www.fredmeyer.com/rx/guest/get-vaccinated,"25250 Pacific Hwy South|Kent, WA 98032",,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kent,Kent accesso ShoWare Center,https://www.kingcounty.gov/depts/health/covid-19/vaccine/distribution.aspx,"625 W James St|Kent, WA 98032",,,"Appointments are required in advance. At this time, residents of south King County who 1) are age 75 or older, OR 2) are age 50 or older and cannot live independently, or live with and care for kin, OR 3) are providing care (paid or unpaid) for someone age 50 or older who cannot live independently, can register for an appointment at this link: www.kingcounty.gov/vaccine"
,Kent,Onestop Medical Clinic,,"1314 Central Ave S|Suite 102|Kent, WA 98032",,covid.onestop@gmail.com,"As of this week, we are allocated Moderna Booster (#2) Vaccines by the Department of Health (DOH), WA.  If you already had COVID19 Moderna Dose 1 and are looking for Moderna Booster (#2) Vaccine between 2/1/2021 to 2/6/2021 then please email us at moderna2.onestop@gmail.com
We will update the DOH as well as our website, once we are allocated COVID19 Pfizer/ Moderna Primary (Dose 1) and Pfizer Booster (Dose 2) vaccines. As an interim, we can add ONLY an eligible person on our waiting list at covid.onestop@gmail.com. We will keep you posted by email.
We ask that for everyone’s safety, please do not visit our clinic without an appointment. Please do not call us to inquire about COVID19 Vaccine as we are experiencing extremely high call volumes. We appreciate your patience"
,Kent,Safeway Pharmacy 1294,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyKent,"210 Washington Ave S|Kent, WA 98032",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kent,SEA MAR - KENT,https://seamar.org/,"233 2nd Ave S|Kent, WA 98032",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Kirkland,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx5cjym/?&e_id=5003,"8629 120TH AVE NE|Kirkland, WA 98033",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kirkland,EVERGREEN HOSPITAL MEDICAL CENTER,https://evergreenhealth.com/,"12040 NE 128th St|Kirkland, WA 98034|",(425) 899-4002,,Please visit our website for the latest COVID-19 vaccine information and availability for the organization
,Kirkland,"Fred Meyer Stores, Totem Lake",https://www.fredmeyer.com/rx/guest/get-vaccinated,"12221 120th Ave NE|Kirkland, WA 98034|",425-820-3233,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kirkland,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"11224 NE 124TH ST|Kirkland, WA 98034",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Lake City,"Fred Meyer Stores, Lake City",https://www.fredmeyer.com/rx/guest/get-vaccinated,"13000 Lake City Way NE|Lake City, WA 98125|",206-440-5533,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Maple Valley,"Fred Meyer Stores, Maple Valley",https://www.fredmeyer.com/rx/guest/get-vaccinated,"26520 Maple Valley Black Diamond Rd SE|Maple Valley, WA 98038|",425-433-2333,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Mercer Island,Lake Washington Internal Medicine,https://www.lwimclinic.com/,"8015 SE 28th St, Suite 310|Mercer Island, WA 98040",,vaccines@lwimclinic.com,Please visit our website for the latest information on scheduling and vaccine availability. Email us if you have questions.
,Newcastle,Safeway Pharmacy 0558,https://kordinator.mhealthcoach.net/vcl/NewcastleSafeway,"6911 Coal Creek Pkwy SE|Newcastle, WA 98059",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,North Bend,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"460 E NORTH BEND WAY|North Bend, WA 98045",,,"Appointments are required. Please use this link to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,North Bend,Safeway Pharmacy 1528,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyNorthBend,"460 SW Mt Si Blvd|North Bend, WA 98045",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Redmond,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx9e07c/?&e_id=4995,"7725 188TH AVENUE NE|Redmond, WA 98052",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Redmond,"Dr Ghislaine Robert, MD",,"8630 164th Ave NE|Suite 205|Redmond, WA 98052",,CovidSportsMD@GMAIL.COM,
,Redmond,Evergreen Internists,https://www.evergreenmd.com/,"2217 152nd Ave NE|Suite 100|Redmond, WA 98052|",425-825-3900,vaccine@evergreenmd.com,Please email for appointment.
,Redmond,"Fred Meyer Stores, Redmond",https://www.fredmeyer.com/rx/guest/get-vaccinated,"17667 NE 76th Sst|Redmond, WA 98052|",425-556-8033,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Redmond,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"23475 NE NOVELTY HILL RD|Redmond, WA 98053",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Redmond,QFC,https://www.qfc.com/i/coronavirus-update/vaccine,"8867 161ST NE|Redmond, WA 98052",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Renton,"Fred Meyer Stores, Benson Plaza",https://www.fredmeyer.com/rx/guest/get-vaccinated,"17801 108th Ave. SE|Renton, WA 98055|",425-235-5383,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Renton,"Fred Meyer Stores, Renton",https://www.fredmeyer.com/rx/guest/get-vaccinated,"365 Renton Center Way SW|Renton, WA 98055|",425-204-5233,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Renton,PAIN CARE PHYSICIANS PLLC,https://www.anesispain.com/,"801 SW 16th Street|Suite 121|Renton, WA 98057|",(206) 538-6300,info@anesispain.com,
,Renton,UW- Valley Medical Center,https://www.uwmedicine.org/,"400 South 43rd Street|Renton, WA 98055",,,"Due to low inventory, we are unable to schedule appointments at this time."
,Seattle,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx5hetv/?&e_id=4935,"4401 FOURTH AVE S.|Seattle, WA 98134",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Seattle,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxymp9s/?&e_id=4997,"1175 NORTH 205th STREET|Seattle, WA 98133",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Seattle,Fred Hutch/SCCA COVID-19 Vaccine Program - South Lake Union,https://www.solvhealth.com/book-online/AM8450,"1100 Fairview Ave N|Seattle, WA 98109",,,"Vaccinating groups 1A and 1B (1st dose only). Appointments required. If no dates are listed, all appointments have been filled so please check back at a later date. Please schedule here."
,Seattle,"Fred Meyer Stores, Ballard",https://www.fredmeyer.com/rx/guest/get-vaccinated,"915 NW 45th Street|Seattle, WA 98107|",206-297-4333,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Seattle,"Fred Meyer Stores, Greenwood",https://www.fredmeyer.com/rx/guest/get-vaccinated,"100 NW 85th|Seattle, WA 98117|",206-781-2703,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Seattle,HARBORVIEW MEDICAL CENTER,https://www.uwmedicine.org/coronavirus/vaccine,"325 9th Ave.|Seattle, WA 98104",,,"Due to low inventory, we are unable to schedule appointments at this time."
,Seattle,ICHS - Holly Park Medical and Dental,https://www.ichs.com/appointment-for-the-covid-vaccine/,"3815 S Othello St|Seattle, WA 98118",,covidvaccination@ichs.com,We are currently vaccinating Phase 1A and 1B. Please visit our website to schedule an appointment.
,Seattle,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"2746 NE 45TH|Seattle, WA 98105",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Seattle,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"1531 NE 145TH|Seattle, WA 98155",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Seattle,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"9999 HOLMAN RD NW|Seattle, WA 98117",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Seattle,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"500 MERCER ST|Seattle, WA 98109",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Seattle,Safeway Pharmacy 1477,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyBallard,"1423 NW Market St|Seattle, WA 98107",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Seattle,Safeway Pharmacy 1508,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyRainier,"3820 Rainier Ave S|Seattle, WA 98118",,,we have vaccines available
,Seattle,Safeway Pharmacy 1993,https://www.mhealthcheckin.com/,"2201 E Madison St|Seattle, WA 98112",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Seattle,Sea Mar - Seattle,https://www.seamar.org/covid-vaccine,"8720 14th Ave S|Seattle, WA 98108",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available"
,Seattle,Sea Mar - Seattle,https://www.seamar.org/covid-vaccine%C2%A0,"9685 Des Moines Memorial Dr.|Seattle, WA 98108",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Seattle,Sea Mar - White Center,https://www.seamar.org/covid-vaccine,"9650 15th Ave SW #100|Seattle, WA 98106",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available"
,Seattle,SEATTLE CHILDREN'S HOSPITAL,https://www.seattlechildrens.org/,"4800 Sandpoint Way NE|M/S MB.5.420|Seattle, WA 98105",,,
,Seattle,Seattle Infectious Disease Clinic,https://www.seattleidc.com/,"509 Olive Way Ste 752|Seattle, WA 98101",,,We will list vaccine availability and contacts on the website.
,Seattle,Swedish Community COVID-19 Vaccination Clinic at Seattle University,https://www.covidvaccineseattle.org/,"1001 E. James Way | Campion Hall|Seattle, WA 98122",,,Currently vaccinating all DOH-approved phases. Please visit our website
,Seattle,UW Medical Center - Northwest,https://www.uwmedicine.org/coronavirus/vaccine,"1550  N 115th St|Seattle, WA 98113",,,"Due to low inventory, we are unable to schedule appointments at this time."
,Seattle,UW MEDICAL CENTER -Montlake,https://www.uwmedicine.org/coronavirus/vaccine,"1959 NE Pacific St.|Seattle, WA 98195",,,
,Seattle,VIRGINIA MASON - DOWNTOWN,https://www.virginiamason.org/vaccinewaitlist,"925 Seneca St.|H3-PI|Seattle, WA 98101",H3-PI,,Please visit: Vaccine Wait List Registration (virginiamason.org)
,Seattle,Sea Mar Community Health Center,https://www.seamar.org/king-medical-seattle.html,"8720 14th Ave South|Seattle , WA 98108|",206-762-3730,,"Appointments are required. Please visit this link to schedule.  If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Shoreline,ICHS - Shoreline,https://www.ichs.com/appointment-for-the-covid-vaccine/,"16549 Aurora Ave N|Shoreline, WA 98133",,covidvaccination@ichs.com,We are currently vaccinating Phase 1A and 1B.  Please visit our website to schedule an appointment.
,Shoreline,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"600 NW RICHMOND BEACH RD|Shoreline, WA 98177",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Snoqualmie,Snoqualmie Valley Hospital,,"9801 Frontier Ave SE|Snoqualmie, WA 98065",,OccupationalHealth@SnoqualmieHospital.org,
,Tukwila,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx5myxq/?&e_id=4975,"400 COSTCO DRIVE|Tukwila, WA 97188",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vashon,SEA MAR - VASHON,https://www.seamar.org/covid-vaccine,"10030 SW 210th S|Vashon, WA 98070",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Vashon,Vashon Pharmacy,https://hipaa.jotform.com/210070447790048,"17617 Vashon Highway SW|Vashon, WA 98070|",(206) 463-9118,vashonpharmacycovid@gmail.com,By appointment only.
,Woodinville,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx8554q/?&e_id=4979,"24008 SNOHOMISH-WDVILLE RD|Woodinville, WA 98072",24008 SNOHOMISH-WDVILLE RD,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Woodinville,Haggen Pharmacy,https://kordinator.mhealthcoach.net/vcl/HaggenPharmacyWoodinville,"17641 Garden Way NE|Woodinville, WA 98072",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
Kitsap County,,,,,,,
,Bremerton,"Fred Meyer Stores, Kitsap",https://www.fredmeyer.com/rx/guest/get-vaccinated,"5050 State Highway 303 NE|Bremerton, WA 98311|",360-792-2833,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Bremerton,Saint Michael Medical Center Bremerton,,"2520 Cherry Avenue|Bremerton, WA 98310",,,"Vaccination clinic run jointly by Kitsap Public Health District, Kitsap County Emergency Operations Center, and other partners.  For more information, including dates and registration process, visit: http://kcowa.us/vaccine"
,Port Orchard,"Fred Meyer Stores, Port Orchard",https://www.fredmeyer.com/rx/guest/get-vaccinated,"1900 SE Sedgwick Rd.|Port Orchard, WA 98366|",360-874-7173,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Poulsbo,SAFEWAY PHARMACY #3148,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyPoulsbo,"19245 10th Ave NE|Poulsbo, WA 98370",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Silverdale,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx5r67s/?&e_id=5025,"10000 MICKELBERRY ROAD NW|Silverdale, WA 98383",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Silverdale,St. Michael Medical Center (formerly Harrison Medical Center),https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html,"1800 NW Myhre Rd|Silverdale, WA 98383",,,"Vaccine is provided by appointment only. Please visit: COVID 19 Vaccine to schedule an appointment
If you have questions please call: 253-792-2385 8-4:30 seven days a week."
Kittitas County,,,,,,,
,Cle Elum,Cle Elum Centennial Center,https://www.co.kittitas.wa.us/health/default.aspx,"719 E. 3rd Street|Cle Elum, WA 98926",,,APPOINTMENTS ARE REQUIRED. To schedule visit https://www.co.kittitas.wa.us/health/default.aspx
,Ellensburg,"Fred Meyer Stores, Ellensburg",https://www.fredmeyer.com/rx/guest/get-vaccinated,"201 S. Water St.|Ellensburg, WA 98926|",509-962-0533,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Ellensburg,Kittitas Valley Events Center,https://www.co.kittitas.wa.us/health/default.aspx,"901 E. 7th Avenue|Ellensburg, WA 98926",,,APPOINTMENTS ARE REQUIRED. To schedule visit https://www.co.kittitas.wa.us/health/default.aspx
,Ellensburg,SAFEWAY #27-1630,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyEllensburg,"400 N Ruby St|Ellensburg, WA 98926",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
Klickitat County,,,,,,,
,Goldendale,Klickitat County Health Department,,"228 W Main St # Msch14|Goldendale, WA 98620",,,
,Goldendale,KLICKITAT VALLEY HOSPITAL,,"310 S. Roosevelt St|Goldendale, WA 98620|",509-773-4029,,low availability
,White Salmon,Klickitat County Health Department,,"501 NE Washington St|White Salmon, WA 98672",,,
,White Salmon,NORTHSHORE MEDICAL GROUP,https://northshore-medical.com/,"65371 HWY 14|White Salmon, WA 98672|",(509) 493-2133,,call
,White Salmon,Skyline Hospital,,"211 Skyline Dr|White Salmon, WA 98627||myskylinehealth.org",509-493-1051,,
Lewis County,,,,,,,
,Centralia,Providence - Lewis County,https://providencecovidvaccinewamt.squarespace.com/southwestwa,,,,"Please visit our link for current planning, scheduling links, and current phase information."
,Centralia,SAFEWAY #27-1495,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyCentralia,"1129 Harrison Ave|Centralia, WA 98531",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Morton,MORTON GENERAL HOSPITAL,,"521 Adams Avenue|Morton, WA 98356|",360-496-3777,covidvaccine@myarborhealth.org,"Residents or workers within the Lewis County Hospital District #1 and those due for 2nd doses are prioritized for vaccines. Vaccines are available by appointment only and provided to those who are eligible through Phase Finder. Due to demand, you may be placed on an appointment waitlist clinics in Mossyrock, Morton, or Randle. 
Please contact us at covidvaccine@myarborhealth.org or 360-496-3777 for all COVID vaccine requests."
,Winlock,VALLEY VIEW Health Care - WINLOCK,,"100 Cedar Crest Drive|Winlock, WA 98596",,Covidphase@vvhc.org,email
Lincoln County,,,,,,,
,Davenport,North Basin - Davenport,,"100 3rd Street|Suite 1|Davenport, WA 99122|",(509) 725-7501,,"Call Reception, let them know you are a 1A individual, ask to be scheduled."
Mason County,,,,,,,
,Belfair,QFC Store 101,https://www.qfc.com/i/coronavirus-update/vaccine,"NE 201 STATE RT. 300|Belfair, WA 98528",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Shelton,"Fred Meyer Stores, Shelton",https://www.fredmeyer.com/rx/guest/get-vaccinated,"301 E. Wallace Kneeland Blvd|Shelton, WA 98584|",360-432-5373,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Shelton,Mason General Hospital,https://www.masongeneral.com/,"901 Mountain View Dr|Shelton, WA 98584",,,"We are currently vaccinating individuals who qualify for Washington’s Phase 1A. 
For those who will be eligible in Phase B1  please check this website regularly for updates"
Okanogan County,,,,,,,
,Brewster,Family Health Centers,https://myfamilyhealth.org/covid-vaccine/,"520 West Indian Avenue|Brewster, WA 98812|",509-689-2525,info@fhc.us,Please sign up for the vaccine on our portal
,Brewster,Family Health Centers,https://myfamilyhealth.org/covid-vaccine/,"525 W Jay Ave|Brewster, WA 98812|",800-660-2129,info@fhc.us,Please complete the vaccine sign up form.
,Brewster,THREE RIVERS HOSPITAL,https://threerivershospital.net/covid-19-information/covid-19-vaccine/,"507 Hospital Way|Brewster, WA 98812",,covid@trhospital.net,"Complete the registration link, and someone will reach out within the next business day to schedule."
,Omak,Family Health Centers,https://myfamilyhealth.org/covid-vaccine/,"1003 Koala|Omak, WA 98841|",800-660-2129,info@fhc.us,Please complete the vaccine sign up form
,Tonasket,Family Health Centers,https://myfamilyhealth.org/covid-vaccine/,"106 S. Whitcomb|Tonasket, WA 98855|",800-660-2129,info@fhc.us,Please complete the vaccine sign up form
,Tonasket,NORTH VALLEY HOSPITAL,https://www.nvhospital.org/covid-19,"203 South Western|Tonasket, WA 98855|",(509) 486-3191,johnmcreynolds@nvhospital.org,"Complete the form on the website, email it, and we will call you to schedule."
,Twisp,Family Health Centers,https://myfamilyhealth.org/covid-vaccine/,"541 W 2nd Ave|Twisp, WA 98840|",800-660-2129,info@fhc.us,Please sign up for the vaccine on our portal
Pacific County,,,,,,,
,Ilwaco,OCEAN BEACH HOSPITAL,,"174 1st Ave N|Ilwaco, WA 98624|",(360) 642-6308,bslagle@oceanbeachhospital.com,
,Long Beach,Pacific County Health Department,,"7013 Sandridge Rd|Long Beach, WA 98631|",360-642-9407,info@pacificcountyhealth.com,call our call center
,Raymond,VALLEY VIEW Health Center - RAYMOND,https://vvhc.org/,"300 Ocean Ave|Raymond, WA 98577|",(360) 942-3040,Covidphase@vvhc.org,email
,South Bend,Pacific County Health Department,,"1216 W. Robert Bush Drive|South Bend, WA 98586|",(360) 875-9407,info@pacificcountyhealth.com,call our call center
Pend Oreille County,,,,,,,
,Newport,FAMILY HEALTH CENTER - NEWPORT,,"714 W. Pine Street|Newport, WA 99156|",(509) 447-6332,,
,Newport,SAFEWAY #27-1159,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyNewport,"121 W Walnut St|Newport, WA 99156",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
Pierce County,,,,,,,
,Bonney Lake,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx9nlzg/?&e_id=5001,"9801 204th Ave E|Bonney Lake, WA 98391",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Bonney Lake,"Fred Meyer Stores, Bonney Lake",https://www.fredmeyer.com/rx/guest/get-vaccinated,"20901 Hwy 410|Bonney Lake, WA 98390|",253-891-7333,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Bonney Lake,Safeway Pharmacy 0544,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyBonneyLake,"21301 WA-410|Bonney Lake, WA 98391",21301 WA-410,,"Appointments are required. Please schedule on our website. If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Eatonville,KIRK'S PHARMACY,https://kirkspharmacy.com/,"104 Mashell Ave N|Eatonville, WA 98328|",(360) 832-3121,eatonville@kirkspharmacy.com,
,Fircrest,University Place Pediatric Clinic,https://uppediatrics.com/,"1033 Regents Blvd|Suite 102|Fircrest, WA 98466|",253-564-1115,nurse@uppediatrics.com,Go to our website and click in the COVID-19 link
,Gig Harbor,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxc6g1g/?&e_id=5043,"10990 HARBOR HILL DR|Gig Harbor, WA 98335",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Gig Harbor,"Fred Meyer Stores, Gig Harbor",https://www.fredmeyer.com/rx/guest/get-vaccinated,"5502 Point Fosdick Drive|Gig Harbor, WA 98335|",253-432-8830,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Gig Harbor,ST ANTHONY HOSPITAL,https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html,"11567 Canterwood Blvd|Gig Harbor, WA 98332",,,"Vaccine is provided by appointment only. Please visit: COVID 19 Vaccine to schedule an appointment
If you have questions please call: 253-792-2385 8-4:30 seven days a week."
,Lakewood,SAFEWAY #27-1645,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyLakewood,"10223 Gravelly Lake Dr SW|Lakewood, WA 98499",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Lakewood,Sea Mar - Lakewood,https://www.seamar.org/covid-vaccine%C2%A0,"7424 Bridgeport Way W #103|Lakewood, WA 98499",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
